x*,z*_ini,z*_fin
-7.411,-5.437,-5.437
-7.407,-5.437,-5.436
-7.403,-5.437,-5.436
-7.399,-5.437,-5.436
-7.396,-5.436,-5.437
-7.392,-5.436,-5.437
-7.388,-5.436,-5.437
-7.384,-5.436,-5.437
-7.38,-5.435,-5.437
-7.377,-5.436,-5.436
-7.373,-5.437,-5.436
-7.369,-5.437,-5.437
-7.365,-5.436,-5.437
-7.362,-5.436,-5.437
-7.358,-5.435,-5.437
-7.354,-5.435,-5.437
-7.35,-5.435,-5.437
-7.347,-5.435,-5.437
-7.343,-5.434,-5.437
-7.339,-5.434,-5.436
-7.335,-5.434,-5.435
-7.332,-5.434,-5.435
-7.328,-5.435,-5.435
-7.324,-5.435,-5.434
-7.32,-5.434,-5.434
-7.317,-5.434,-5.434
-7.313,-5.434,-5.434
-7.309,-5.435,-5.436
-7.305,-5.436,-5.436
-7.302,-5.436,-5.435
-7.298,-5.436,-5.434
-7.294,-5.436,-5.433
-7.29,-5.435,-5.433
-7.286,-5.435,-5.434
-7.283,-5.435,-5.435
-7.279,-5.436,-5.436
-7.275,-5.437,-5.436
-7.271,-5.438,-5.437
-7.268,-5.439,-5.438
-7.264,-5.44,-5.438
-7.26,-5.441,-5.439
-7.256,-5.439,-5.438
-7.253,-5.439,-5.438
-7.249,-5.44,-5.439
-7.245,-5.44,-5.44
-7.241,-5.44,-5.44
-7.238,-5.44,-5.442
-7.234,-5.441,-5.443
-7.23,-5.441,-5.442
-7.226,-5.441,-5.442
-7.223,-5.442,-5.443
-7.219,-5.442,-5.444
-7.215,-5.442,-5.445
-7.211,-5.442,-5.445
-7.208,-5.442,-5.444
-7.204,-5.442,-5.443
-7.2,-5.442,-5.443
-7.196,-5.442,-5.444
-7.192,-5.442,-5.443
-7.189,-5.443,-5.443
-7.185,-5.443,-5.443
-7.181,-5.444,-5.443
-7.177,-5.444,-5.442
-7.174,-5.444,-5.441
-7.17,-5.444,-5.441
-7.166,-5.444,-5.442
-7.162,-5.446,-5.442
-7.159,-5.447,-5.443
-7.155,-5.448,-5.444
-7.151,-5.447,-5.443
-7.147,-5.447,-5.442
-7.144,-5.446,-5.443
-7.14,-5.446,-5.444
-7.136,-5.446,-5.445
-7.132,-5.447,-5.446
-7.129,-5.448,-5.447
-7.125,-5.449,-5.447
-7.121,-5.45,-5.448
-7.117,-5.449,-5.448
-7.114,-5.449,-5.448
-7.11,-5.449,-5.449
